1.309413,0.210248,0.060388,0.998168,
2.334087,0.348963,0.077131,0.997013,goal,
4.235293,0.692444,0.377633,0.925947,
5.077567,1.395539,-0.999318,-0.036719,goal,
3.651920,1.503755,-0.998962,-0.045395,
3.016312,1.981614,-0.951156,-0.308685,goal,
2.273468,2.139575,-0.992980,-0.118216,
0.879312,2.512087,-0.986923,-0.161146,goal,


